t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Flux surface 10: solute
1000.0,4.776841569657916e+16,24959724864.592804,4071283801.213919,1.4752688563813978e+16,24959117363.497963,4033471644.604749,1.2275003215435042e+16,2.074072391733006e+16,607501.0948216355,37812156.60916797,-8921.167477597975
2100.0,7.59438436101803e+16,224709159832.23804,43242627462.89865,1.8259862146891664e+16,224703676557.24094,42832606505.98761,2.0307772044518292e+16,3.737620941877027e+16,5483274.997365805,410020956.9110176,-117077.24568374603
3310.0,1.0065151213421109e+17,1023114481863.7961,231397548654.02844,2.0066216520393612e+16,1023089451715.1718,229153599101.08514,2.72544193345668e+16,5.333087627925071e+16,25030148.62391408,2243949552.9433565,-748233.7878807631
4641.0,1.2438200819081757e+17,3195126762278.3257,843648993641.3809,2.12668080426659e+16,3195048394882.231,835269890050.2292,3.375764186997974e+16,6.9357558278171496e+16,78367396.09040254,8379103591.151886,-3141048.4595816312
6105.1,1.4806660382570547e+17,7790855689469.621,2381839007722.0884,2.2169714078262304e+16,7790664124143.125,2357585064609.0024,4.0084635484953736e+16,8.581225426248939e+16,191565326.49066922,24253943113.085087,-9839415.860399796
7715.610000000001,1.722005708953911e+17,15948372112015.176,5594939134973.759,2.289912040568142e+16,15947979012378.424,5536491239719.017,4.63817659777251e+16,1.0291968451198394e+17,393099636.769589,58447895254.741516,-24737764.290324673
9487.171,1.971091526779489e+17,28698944934589.812,11447413316390.338,2.3516550021889656e+16,28698235888112.984,11324706556649.436,5.274439256304905e+16,1.2084821009301093e+17,709046476.7958493,122706759740.89255,-52367538.16802086
11435.8881,2.230384801543845e+17,46840536074431.2,21051460659157.777,2.4056977997677732e+16,46839376171802.07,20819965311036.324,5.92428776698348e+16,1.397386244868707e+17,1159902629.165298,231495348121.47226,-96589575.71899113
13579.476910000001,2.5019350448593907e+17,70896951573889.47,35585951895913.19,2.454241564277978e+16,70895192076684.11,35184714651438.38,6.593400461981632e+16,1.5971708422334275e+17,1759497205.3811405,401237244474.8068,-159264703.81700188
15937.424601000002,2.787556356897228e+17,101140751994196.0,56219124785338.68,2.49878599544314e+16,101138236508707.94,55569714534365.5,7.286644671844675e+16,1.809013290168477e+17,2515485488.1619306,649410250973.3073,-239487178.52963388
18531.167061100005,3.088912840189798e+17,137647389641558.81,84042907140707.19,2.5404176340772804e+16,137643959005374.05,83049284349563.81,8.00834655749961e+16,2.0340364210320986e+17,3430636184.793154,993622791143.4717,-333634660.2559378
21384.283767210007,3.4075588489850816e+17,180354522972218.9,120020166893340.03,2.5799591915280148e+16,180350018702528.4,118569417734399.25,8.762420902112365e+16,2.273320839621026e+17,4504269690.679553,1450749158940.8289,-436100336.16200054
